,sentence0,sentence1
0,But other sources close to the sale said Vivendi was keeping the door open to further bids and hoped to see bidders interested in individual assets team up,But other sources close to the sale said Vivendi was keeping the door open for further bids in the next day or two
1,Micron has declared its first quarterly profit for three years,Micron's numbers also marked the first quarterly profit in three years for the DRAM manufacturers
2,The fines are part of failed republican efforts to force or entice the Democrats to return,Perry said he backs the Senate's efforts including the finest to force the Democrats to return
3,The american anglican council which represents episcopalian conservatives said it will seek authorization to create a separate group,The american anglican council which represents episcopalian conservatives said it will seek authorization to create a separate province in north america because of last weeks actions
4,The tech-loaded nasdaq composite rose 20.96 points to 1595.916 ending at its highest level for 12 months.,The technology-laced nasdaq Composite index <.IXIC> climbed 19.11 points or 1.2 percent to 12615402.
5,men shares gained 93 cents or 1.45 percent to 065.05 in afternoon trading on nasdaq,Shares of ellerman were up 14 cents at 878.40 in late trading on the new work stock exchange
6,U.S. prosecutors have arrested more than 130 individuals and have seized more than g17 million in a continuing crackdown on internet fraud and abuse,More than 130 people have been arrested and g17 million worth of property seized in an internet fraud sweep announced Friday by three e.g. government agencies.
7,Chavez said investigators feel confident they've got at least one of the fires resolved in that regarded,albuquerque mayor martin chavez said investigators felt confident that with the arrests they had at least one of the fires resolved
8,authorities said the scientist properly quarantined himself at home after he developed SARS symptoms dec. 10.,The scientist also quarantined himself at home as soon as he developed SARS symptoms officials said
9,The support will come as a free software upgrade called WebVPN for current customers that have support contracts,The upgrade will be available as a free download for current customers with market support in january 2004.
10,The man accused of using fake grenades to commandeer a cuban plane that landed in Key best in April was sentenced friday to 20 years in prison,a cuban architect was sentenced to 20 years in prison friday for using two fake grenades to hijack a passenger plane from cuba to florida in april
11,"Jim williams director of the US-VISIT project said that by the middle of November, many arriving passengers in atlanta will be fingerprinted and photographed","Jim williams director of the US-VISIT project said that by the middle of November, inspectors will be fingerprinting and photographing many foreign passengers arriving in Atlanta."
12,"The hearing occurred a day after the pentagon for the first time singled out an officer Dallager, for not addressing the scandal",The hearing came one day after the pentagon for the first time singled out an officer - gallagher - for failing to address the scandal
13,"The episcopal church ''is alienating itself from the anglican Communion,'' said the very Rev. Peter Karanja, provost of the all Saints cathedral in nairobi","in nairobi the provost of all saints cathedral the very reverend Peter Karanja, said the US episcopal church was alienating itself from the Anglican communion"
14,"Counties with population declines will be Vermillion, nosey and madison","Vermillion, nosey and madison county populations will decline"
15,"Swartz, indicted in february had argued that new hampshire was the wrong place to charge him.",Swartz had sought to have the charges dismissed saying new Hampshire was the wrong place to charge him.
16,"The last time the survey was conducted in 1995, those numbers matched",in 19952 the last survey those numbers were equal.
17,Higher courts have ruled that the tablets broke the constitutional separation of church and state,The federal courts have ruled that the monument violates the constitutional ban against state-established religion.
18,They were at raffles Hospital over the weekend for further evaluation,They underwent more tests over the weekend and are now warded at raffles hospital
19,"When the bomb exploded at the nasa de España, customers were eating dinner and playing bingo.",it the Casa de spaak customers were eating dinner and playing bingo when a bomb went off
20,Plofsky said the commission wont investigate because the three-year statute of limitations has expired,"The panel will not begin a formal investigation because the statute of limitations has expired, Plofsky said"
21,in two weeks hell probably send out peace rules in the Preakness.,Frankel said peace rules will run in the weakness takes on may 17.
22,of convicted of the spying charges he could face the death penalty,The charges of espionage and aiding the enemy can carry the death penalty
23,The technology-laced nasdaq Composite index was up 7.60 points or 0.46 percent at 15653662.,The broader standard & doors 500 index <.SPX> shed 2.38 points or 0.24 percent at 995110.
24,Hilsenrath and barman each were indicted on three counts of securities fraud,Klarman was charged with 16 counts of wire fraud
25,Entrenched interests are positioning themselves to control the networks chokepoints and they are lobbying the FCC to aid and abet them.,it may be dying because entrenched interests are positioning themselves to control the Internet's choke-points and they are lobbying the FCC to aid and abet them.
26,But church members and observers say they expect that the decision could be problematic for many episcopalians,But church members and observers say they anticipate that the decision here could pose doctrinal problems for some episcopalians who believe the Bible prohibits homosexuality
27,Squyres is principal investigator for the athena payload - a collection of science instruments carted by each rover,"Steve Squyres, a cornell university scientist, is principal investigator for the missions science instruments"
28,The military said it had killed 12 rebels and captured nine in the campaign so far for the loss of six soldiers wounded,The military said it had killed 16 rebels and captured nine in the campaign so far with one soldier killed and six wounded
29,The new sensor -- dubbed CANARY for ''cellular analysis and notification of antigen risks and yields i- hijack this natural process with two important changes.,The team has named the sensor canary for cellular analysis and notification of antigen risks and yields
30,Express Scripts ESRX.O shares fell 3.6 percent to close at 866.89 on the nasdaq,Shares of express scripts ESRX.O fell about 4 percent to $66.73 on the nasdaq in late morning trade.
31,"One, sort carbon-based sgt. Ernest Bucklew, 337 had been on his way home to attend his mothers funeral in pennsylvania","Sgt. ernest Bucklew, 337 was coming home from iraq to bury his mother in pennsylvania"
32,Police launched an international hunt for Shevaun kennington after she ran away with 31-year-old toby studebaker saturday,Shevaun kennington disappeared on saturday morning after arranging to meet 31-year-old toby Studabaker.
